green_count,red_count,junction_pressure,average_network_pressure,phase_duration
9,25,1,0.3333333333333333,33.0
12,28,5,0.3333333333333333,10.0
9,20,5,0.3333333333333333,16.0
6,10,0,0.3333333333333333,18.0
13,4,0,0.3333333333333333,32.0
16,5,0,0.3333333333333333,35.0
7,11,0,0.3333333333333333,37.0
9,18,4,0.3333333333333333,27.0
15,16,4,0.3333333333333333,36.0
10,13,1,0.3333333333333333,19.0
2,3,0,0.6266666666666667,36.0
2,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,5.0
2,0,0,0.6266666666666667,5.0
2,0,0,0.6266666666666667,5.0
2,0,0,0.6266666666666667,5.0
3,4,0,0.6266666666666667,36.0
8,8,0,0.6266666666666667,37.0
8,8,0,0.6266666666666667,37.0
3,4,0,0.6266666666666667,40.0
2,1,0,0.6266666666666667,26.0
3,0,0,0.6266666666666667,5.0
3,0,0,0.6266666666666667,5.0
3,0,0,0.6266666666666667,5.0
2,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,5.0
3,4,0,0.6266666666666667,36.0
8,3,0,0.6266666666666667,37.0
3,2,0,0.6266666666666667,36.0
3,2,0,0.6266666666666667,37.0
3,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,65.0
1,0,0,0.6266666666666667,66.0
2,0,0,0.6266666666666667,5.0
2,0,0,0.6266666666666667,5.0
4,3,1,0.6266666666666667,39.0
10,9,2,0.6266666666666667,39.0
4,12,9,0.6266666666666667,27.0
10,8,2,0.6266666666666667,39.0
6,8,0,0.6266666666666667,40.0
10,5,0,0.6266666666666667,30.0
14,10,5,0.6266666666666667,38.0
10,4,0,0.6266666666666667,37.0
3,0,0,0.6266666666666667,65.0
2,0,0,0.6266666666666667,65.0
8,3,0,0.6266666666666667,37.0
10,8,0,0.6266666666666667,37.0
10,8,0,0.6266666666666667,37.0
4,7,0,0.6266666666666667,38.0
8,3,0,0.6266666666666667,37.0
10,4,0,0.6266666666666667,37.0
10,0,0,0.6266666666666667,59.0
7,12,0,0.6266666666666667,26.0
8,3,0,0.6266666666666667,37.0
8,10,0,0.6266666666666667,38.0
9,7,6,0.6266666666666667,27.0
12,10,0,0.6266666666666667,37.0
9,4,0,0.6266666666666667,37.0
12,14,0,0.6266666666666667,32.0
8,3,0,0.6266666666666667,37.0
11,8,0,0.6266666666666667,37.0
11,8,0,0.6266666666666667,37.0
10,4,0,0.6266666666666667,37.0
4,12,5,0.6266666666666667,23.0
8,3,4,0.6266666666666667,39.0
8,3,0,0.6266666666666667,37.0
8,3,0,0.6266666666666667,37.0
5,6,0,0.6266666666666667,23.0
10,8,0,0.6266666666666667,37.0
9,4,0,0.6266666666666667,37.0
10,8,0,0.6266666666666667,37.0
4,7,0,0.6266666666666667,41.0
9,3,2,0.6266666666666667,39.0
9,25,2,0.6266666666666667,34.0
12,28,0,0.6266666666666667,10.0
