vehicle_id,system_type,depart_time,arrival_time,duration,waiting_time,time_loss,route_length,average_speed,waiting_ratio,delay_ratio
136,fixed,204.0,869.0,665.0,465.0,526.83,2281.1,3.4302255639097745,0.6992481203007519,0.7922255639097745
540,fixed,810.0,870.0,60.0,0.0,9.95,803.79,13.3965,0.0,0.16583333333333333
167,fixed,251.0,871.0,620.0,498.0,527.69,1407.4,2.27,0.8032258064516129,0.8511129032258066
529,fixed,794.0,871.0,77.0,1.0,14.72,628.57,8.163246753246755,0.012987012987012988,0.19116883116883118
405,fixed,608.0,875.0,267.0,113.0,156.22,2090.49,7.829550561797752,0.4232209737827715,0.5850936329588015
83,fixed,125.0,876.0,751.0,607.0,649.9,1551.34,2.065699067909454,0.8082556591211718,0.8653794940079893
36,fixed,54.0,883.0,829.0,447.0,526.65,3374.99,4.071158021712907,0.5392038600723763,0.6352834740651387
331,fixed,497.0,883.0,386.0,86.0,139.21,2928.31,7.586295336787565,0.22279792746113988,0.36064766839378243
287,fixed,431.0,885.0,454.0,231.0,269.06,2123.74,4.67784140969163,0.5088105726872246,0.5926431718061674
318,fixed,477.0,890.0,413.0,277.0,329.25,1000.0,2.4213075060532687,0.6707021791767555,0.7972154963680388
525,fixed,788.0,890.0,102.0,0.0,22.83,335.18,3.286078431372549,0.0,0.2238235294117647
209,fixed,314.0,891.0,577.0,55.0,117.19,5259.88,9.115909878682842,0.09532062391681109,0.20310225303292895
524,fixed,786.0,892.0,106.0,8.0,27.07,783.18,7.388490566037736,0.07547169811320754,0.25537735849056603
325,fixed,488.0,895.0,407.0,38.0,108.61,3342.14,8.21164619164619,0.09336609336609336,0.26685503685503686
45,fixed,68.0,898.0,830.0,575.0,659.5,2330.2,2.807469879518072,0.6927710843373494,0.7945783132530121
242,fixed,363.0,899.0,536.0,224.0,283.36,2858.13,5.332332089552239,0.417910447761194,0.5286567164179105
336,fixed,504.0,899.0,395.0,277.0,312.99,1339.66,3.3915443037974686,0.7012658227848101,0.7923797468354431
344,fixed,516.0,904.0,388.0,182.0,227.52,2465.76,6.355051546391753,0.4690721649484536,0.5863917525773196
484,fixed,726.0,914.0,188.0,0.0,23.08,1496.49,7.9600531914893615,0.0,0.1227659574468085
13,fixed,20.0,918.0,898.0,524.0,622.96,4550.41,5.0672717149220485,0.5835189309576837,0.6937193763919822
371,fixed,559.0,925.0,366.0,203.0,249.7,2267.48,6.195300546448087,0.5546448087431693,0.6822404371584699
396,fixed,594.0,929.0,335.0,35.0,68.5,2811.05,8.391194029850746,0.1044776119402985,0.2044776119402985
86,fixed,129.0,930.0,801.0,606.0,644.1,2328.21,2.906629213483146,0.7565543071161048,0.804119850187266
431,fixed,647.0,931.0,284.0,170.0,199.37,784.94,2.76387323943662,0.5985915492957746,0.7020070422535212
520,fixed,780.0,932.0,152.0,2.0,26.99,1088.84,7.163421052631579,0.013157894736842105,0.1775657894736842
63,fixed,95.0,937.0,842.0,499.0,560.74,4673.61,5.550605700712588,0.5926365795724465,0.6659619952494061
225,fixed,338.0,937.0,599.0,403.0,463.16,1389.46,2.3196327212020034,0.672787979966611,0.7732220367278798
517,fixed,776.0,940.0,164.0,0.0,23.85,1193.35,7.276524390243902,0.0,0.1454268292682927
146,fixed,219.0,947.0,728.0,426.0,477.07,3038.46,4.173708791208791,0.5851648351648352,0.655315934065934
217,fixed,326.0,947.0,621.0,389.0,446.51,3389.52,5.458164251207729,0.6264090177133655,0.7190177133655394
359,fixed,539.0,948.0,409.0,0.0,38.67,3164.69,7.7376283618581905,0.0,0.0945476772616137
397,fixed,596.0,949.0,353.0,244.0,269.14,1248.28,3.5362039660056657,0.6912181303116147,0.7624362606232294
291,fixed,437.0,950.0,513.0,296.0,330.92,2073.98,4.042846003898635,0.5769980506822612,0.6450682261208577
494,fixed,741.0,950.0,209.0,0.0,34.94,2092.24,10.01071770334928,0.0,0.16717703349282295
44,fixed,66.0,952.0,886.0,627.0,703.41,3111.92,3.5123250564334088,0.7076749435665914,0.7939164785553047
348,fixed,522.0,953.0,431.0,39.0,117.83,4364.0,10.125290023201856,0.09048723897911833,0.2733874709976798
455,fixed,683.0,954.0,271.0,50.0,97.83,1875.95,6.9223247232472325,0.18450184501845018,0.3609963099630996
263,fixed,395.0,957.0,562.0,147.0,217.94,3353.9,5.96779359430605,0.2615658362989324,0.3877935943060498
171,fixed,257.0,958.0,701.0,498.0,557.25,1862.76,2.657289586305278,0.7104136947218259,0.7949358059914408
253,fixed,380.0,961.0,581.0,395.0,434.97,2137.92,3.679724612736661,0.6798623063683304,0.748657487091222
130,fixed,195.0,963.0,768.0,528.0,606.15,2191.49,2.8535026041666662,0.6875,0.7892578124999999
562,fixed,843.0,973.0,130.0,0.0,11.94,1314.25,10.109615384615385,0.0,0.09184615384615384
480,fixed,720.0,977.0,257.0,80.0,109.51,2500.77,9.730622568093386,0.311284046692607,0.4261089494163424
507,fixed,761.0,980.0,219.0,0.0,23.56,1575.95,7.196118721461187,0.0,0.10757990867579909
194,fixed,291.0,985.0,694.0,488.0,543.99,2192.89,3.1597838616714697,0.7031700288184438,0.7838472622478386
43,fixed,65.0,987.0,922.0,551.0,639.98,4231.57,4.589555314533622,0.5976138828633406,0.6941214750542299
283,fixed,425.0,987.0,562.0,109.0,171.81,4466.11,7.946814946619217,0.19395017793594305,0.305711743772242
629,fixed,944.0,987.0,43.0,0.0,8.28,267.57,6.2225581395348835,0.0,0.1925581395348837
132,fixed,198.0,988.0,790.0,537.0,569.21,2765.3,3.5003797468354434,0.6797468354430379,0.7205189873417722
273,fixed,410.0,989.0,579.0,375.0,420.4,1882.51,3.2513126079447323,0.6476683937823834,0.7260794473229706
