edge_id,from_node,to_node,num_lanes,speed_limit,priority,vehicle_count,avg_waiting_time,avg_time_loss,traffic_score,traffic_level,is_high_traffic,system_type
-1155932743#0,10749741402,10749741403,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932743#1,2509241711,10749741402,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1159086614,3964896716,cluster_2131864632_652533088,1,11.11,3,0,0.0,0.0,0.0,high,1,fixed
-1160485061#0,10869997340,cluster_10793137766_653129375,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1160485061#1,10793137771,10869997340,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1168885673,10869997327,10869997340,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1184121642,674077254,10996509859,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1184121643,10996509860,10996509861,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1186699699,11021738362,11021738363,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186699700#0,11021738370,11021738377,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186699700#1,11021738377,11021738370,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701017,11021721328,11021721330,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701018,11021721331,11021721332,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701019,11021721333,11021721334,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701020,11021721335,11021721336,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701021,11021721337,11021721338,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701022,11021721339,11021721340,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1186701023,cluster_11021721341_5764660051,11021721342,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1187063212,11024097519,11024097520,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1187063213,6548385509,11024097523,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1187063214,11024097529,cluster_10219043287_10219043288_5488683288_6230885425,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1187063215,11024097536,11024097537,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1187063216,4056837131,11024097543,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1187063217,3574700134,11024097544,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1187063218,4191922201,11024097546,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1206019214,11175787423,11175787424,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1206019215,cluster_11175787428_6991372498,11175787432,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1206019216,cluster_11175787433_5375518030,11175787434,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1206019217,cluster_11175787435_5375518032,11175787436,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1206019218,cluster_11175788737_268931810,11175788738,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1207927900,696519970,5650008508,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
